Hidden Layers,Activation,Solver,Learning Rate,Batch Size,Regularization Strength,Train Accuracy,Validation Accuracy
100,relu,adam,0.001,auto,0.0001,0.9968333333333333,0.8796428571428572
100,relu,lbfgs,0.001,auto,0.0001,0.9840714285714286,0.878
100,relu,sgd,0.001,auto,0.0001,0.962452380952381,0.8889285714285714
100,relu,sgd,0.001,auto,0.001,0.9625238095238096,0.8883571428571428
100,relu,sgd,0.001,auto,0.01,0.9621666666666666,0.8896428571428572
100,relu,sgd,0.001,auto,0.05,0.9607857142857142,0.8883571428571428
100,relu,sgd,0.001,auto,0.1,0.9582857142857143,0.8895714285714286
100,relu,sgd,0.001,auto,0.5,0.9391904761904762,0.8913571428571428
100,relu,sgd,0.001,auto,1,0.9197619047619048,0.8895
100,relu,sgd,0.01,auto,0.5,0.9563333333333334,0.8977142857142857
100,relu,sgd,0.05,auto,0.5,0.9149761904761905,0.8757857142857143
100,relu,sgd,0.1,auto,0.5,0.9008095238095238,0.8777142857142857
"(100, 200)",relu,sgd,0.01,auto,0.5,0.9727380952380953,0.8867857142857143
"(100, 200, 250)",relu,sgd,0.01,auto,0.5,0.9745238095238096,0.8825714285714286
"(50, 100, 150, 200)",relu,sgd,0.01,auto,0.5,0.9697619047619047,0.8846428571428572
"(200, 300, 400)",relu,sgd,0.01,auto,0.5,0.9798095238095238,0.8882857142857142
50,relu,sgd,0.01,auto,0.5,0.9446666666666667,0.8887142857142857
70,relu,sgd,0.01,auto,0.5,0.9538809523809524,0.8947857142857143
"(50, 100)",relu,sgd,0.01,auto,0.5,0.9597142857142857,0.8883571428571428
150,relu,sgd,0.01,auto,0.5,0.9606666666666667,0.8957857142857143
200,relu,sgd,0.01,auto,0.5,0.9626904761904762,0.8967142857142857
100,relu,sgd,0.01,100,0.5,0.9115952380952381,0.8865714285714286
100,relu,sgd,0.01,200,0.5,0.9563333333333334,0.8977142857142857
100,relu,sgd,0.01,250,0.5,0.9715238095238096,0.8952857142857142
100,relu,sgd,0.01,300,0.5,0.9779047619047619,0.8939285714285714
100,identity,sgd,0.01,auto,0.5,0.8728809523809524,0.8571428571428571
100,logistic,sgd,0.01,auto,0.5,0.8861428571428571,0.8748571428571429
100,tanh,sgd,0.01,auto,0.5,0.9491666666666667,0.8918571428571429
