Number of Trees,Criterion,Max Depth,Min Sample Split,Min Sample Leaf,Max Features,Train Accuracy,Validation Accuracy
100,gini,,2,1,sqrt,1.0,0.8823571428571428
110,gini,,2,1,sqrt,1.0,0.882
120,gini,,2,1,sqrt,1.0,0.8817857142857143
150,gini,,2,1,sqrt,1.0,0.8831428571428571
200,gini,,2,1,sqrt,1.0,0.8843571428571428
250,gini,,2,1,sqrt,1.0,0.8846428571428572
300,gini,,2,1,sqrt,1.0,0.8855
300,entropy,,2,1,sqrt,1.0,0.8850714285714286
300,log_loss,,2,1,sqrt,1.0,0.8850714285714286
300,gini,5,2,1,sqrt,0.7723095238095238,0.7722857142857142
300,gini,8,2,1,sqrt,0.8465,0.8387857142857142
300,gini,10,2,1,sqrt,0.8881190476190476,0.8575714285714285
300,gini,15,2,1,sqrt,0.9723095238095238,0.8775714285714286
300,gini,20,2,1,sqrt,0.9952619047619048,0.8822142857142857
300,gini,25,2,1,sqrt,0.9994761904761905,0.8845
300,gini,30,2,1,sqrt,0.9999761904761905,0.8841428571428571
300,gini,35,2,1,sqrt,1.0,0.8844285714285715
300,gini,40,2,1,sqrt,1.0,0.8850714285714286
300,gini,25,3,1,sqrt,0.9991904761904762,0.8855
300,gini,25,4,1,sqrt,0.998547619047619,0.8844285714285715
300,gini,25,5,1,sqrt,0.9978095238095238,0.8837142857142857
300,gini,25,6,1,sqrt,0.9965238095238095,0.8832857142857143
300,gini,25,10,1,sqrt,0.9905238095238095,0.8827857142857143
300,gini,25,15,1,sqrt,0.9815,0.8826428571428572
300,gini,25,20,1,sqrt,0.9703571428571428,0.8805714285714286
300,gini,25,3,2,sqrt,0.996452380952381,0.883
300,gini,25,3,3,sqrt,0.9886190476190476,0.8829285714285714
300,gini,25,3,4,sqrt,0.9793095238095239,0.8823571428571428
300,gini,25,3,5,sqrt,0.9695952380952381,0.8799285714285714
300,gini,25,3,6,sqrt,0.9602142857142857,0.8778571428571429
300,gini,25,3,10,sqrt,0.9321904761904762,0.8741428571428571
300,gini,25,3,15,sqrt,0.9123809523809524,0.8697142857142857
300,gini,25,3,20,sqrt,0.8998571428571429,0.8669285714285714
300,gini,25,3,1,10,0.9996904761904762,0.8779285714285714
300,gini,25,3,1,15,0.999452380952381,0.8822857142857143
300,gini,25,3,1,20,0.9994047619047619,0.8829285714285714
300,gini,25,3,1,30,0.9991666666666666,0.8845714285714286
300,gini,25,3,1,50,0.9986904761904762,0.8874285714285715
300,gini,25,3,1,100,0.9980714285714286,0.8864285714285715
300,gini,25,3,1,auto,0.9991904761904762,0.8855
300,gini,25,3,1,sqrt,0.9991904761904762,0.8855
300,gini,25,3,1,log2,0.9996904761904762,0.8796428571428572
